"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"22","Nico Collins","WR","HOU","14.7","23.5","10.6","27.1","14.8","-","-","-","-","-","7.4","17.7","15.9","BYE","15.7","9.5","7.4","12.3","14.7","176.6"
"23","Jakobi Meyers","WR","LV","7.9","4.9","17.7","7.4","10.2","-","-","14.2","14.5","BYE","6.8","17.1","12.7","10.2","8.4","5.1","14.6","22.8","11.6","174.5"
"24","Zay Flowers","WR","BAL","8.1","18.6","3.8","1.5","15.5","17.9","3.5","15","27.2","5.4","10.9","8.7","8.6","BYE","8.3","12.8","4.1","2.6","10.1","172.5"
"25","Jauan Jennings","WR","SF","8.9","4.7","41","10.3","1.8","4.2","-","-","BYE","12.8","20.1","6.5","7.1","24.5","4.1","7.1","10.2","8.7","11.5","172"
"26","Jayden Reed","WR","GB","31.1","5.6","8.9","23.6","11.7","11.8","2","6.5","13.8","BYE","8.8","4.1","18.2","0","8.6","9.6","1.1","4.1","10","169.5"
"27","Calvin Ridley","WR","TEN","6.5","22.7","1.4","2","BYE","0.9","5.7","17.6","9.8","22.9","7.8","11.8","5.5","9.4","7.5","15.3","11.6","8.8","9.8","167.2"
"28","Puka Nacua","WR","LAR","6.2","-","-","-","-","BYE","-","14.6","1.6","14.3","21.8","16.2","14.8","35.8","14.3","9.6","17.9","-","15.2","167.1"
"29","Marvin Harrison Jr.","WR","ARI","0.9","27","14.9","13","4.6","0","3.6","20.1","2.4","13.9","BYE","6.2","14.5","6.9","4.2","5.9","12.6","14.8","9.7","165.5"
"30","DeVonta Smith","WR","PHI","11.9","17.1","11.4","-","BYE","13.9","0.3","17.5","16.7","2.4","4.9","-","-","11.7","22.5","8.1","27","-","12.7","165.4"
"31","Darnell Mooney","WR","ATL","2","16.3","10.6","7.1","27","5.3","7.1","16.6","17.3","12.1","3.7","BYE","3.5","17.2","0","10.7","4.7","-","10.1","161.2"
